115 logs before log style change
User: test Logged in at: 2020-02-21T00:15:51.488
User: test Logged in at: 2020-02-21T00:16:38.577
User: test Logged in at: 2020-02-21T00:18:56.006
User: test Logged in at: 2020-02-21T00:21:30.340
User: test Logged in at: 2020-02-21T00:24:01.390
User: test Logged in at: 2020-02-21T00:26:35.995
User: test Logged in at: 2020-02-21T00:38:40.935
User: test Logged in at: 2020-02-21T00:39:04.035
User: test Logged in at: 2020-02-21T00:40:15.865
User: test Logged in at: 2020-02-21T00:40:50.960
User: test Logged in at: 2020-02-21T00:41:54.617
User: test Logged in at: 2020-02-21T00:43:00.692
User: test Logged in at: 2020-02-21T00:55:27.541
User: test Logged in at: 2020-02-21T00:55:34.060
User: test Logged in at: 2020-02-21T00:55:49.557
User: test Logged in at: 2020-02-21T01:00:19.607
User: test Logged in at: 2020-02-21T01:04:39.915
User: test Logged in at: 2020-02-21T01:09:24.475
User: test Logged in at: 2020-02-21T01:14:18.705
User: test Logged in at: 2020-02-21T01:17:58.701
User: test Logged in at: 2020-02-21T01:20:35.153
User: test Logged in at: 2020-02-21T01:26:11.359
User: test Logged in at: 2020-02-21T01:28:15.760
User: test Logged in at: 2020-02-21T01:31:23.484
User: test Logged in at: 2020-02-21T01:32:21.797
User: test Logged in at: 2020-02-21T01:34:43.117
User: test Logged in at: 2020-02-21T01:38:39.316
User: test Logged in at: 2020-02-21T01:39:02.764
User: test Logged in at: 2020-02-21T01:44:50.803
User: test Logged in at: 2020-02-21T01:59:40.194
User: test Logged in at: 2020-02-21T02:00:48.042
User: test Logged in at: 2020-02-21T02:01:37.222
User: test Logged in at: 2020-02-21T02:02:17.664
User: test Logged in at: 2020-02-21T02:03:53.663
User: test Logged in at: 2020-02-21T02:08:14.534
User: test Logged in at: 2020-02-21T02:09:00.595
User: test Logged in at: 2020-02-21T02:10:56.092
User: test Logged in at: 2020-02-21T02:14:49.067
User: test Logged in at: 2020-02-21T02:17:03.172
User: test Logged in at: 2020-02-21T02:25:08.237
User: test Logged in at: 2020-02-21T02:26:57.887
User: test Logged in at: 2020-02-21T02:37:46.698
User: test Logged in at: 2020-02-21T03:45:39.294
User: test Logged in at: 2020-02-21T03:48:33.376
User: test Logged in at: 2020-02-21T03:55:51.135
User: test Logged in at: 2020-02-21T03:59:03.758
User: test Logged in at: 2020-02-21T04:08:18.409
User: test Logged in at: 2020-02-21T04:11:09.374
User: test Logged in at: 2020-02-21T04:17:11.127
User: test Logged in at: 2020-02-21T17:42:35.397
User: test Logged in at: 2020-02-21T17:44:04.501
User: test Logged in at: 2020-02-21T17:45:28.334
User: test Logged in at: 2020-02-21T18:05:15.987
User: test Logged in at: 2020-02-21T18:09:43.605
User: test Logged in at: 2020-02-21T18:11:06.204
User: test Logged in at: 2020-02-21T18:13:55.361
User: test Logged in at: 2020-02-21T18:15:34.936
User: test Logged in at: 2020-02-21T18:17:08.311
